,ECS,TCR,OHC,temperature 2003-2022,ERFaer,CO2 concentration
46584,3.183572750659291,2.080946196768054,395.65785484549997,1.0566534386096968,-1.1048500643894,417.283015237
35667,4.679267463203453,2.0220777766166678,581.4756602288,1.118732400537784,-1.3325324248096,417.626074531
45186,4.117846375466375,2.2522863140386624,463.1646341574,1.0678683697844749,-1.2495921070764,416.849871614
42773,2.917345570602024,2.0333605417370797,470.450757507,1.0197318722070747,-1.3952946988137997,417.400610174
16912,2.167228117887152,1.6679377585861117,404.46555456699997,1.0812567896000174,-0.8548387701157001,417.446217721
74217,2.811395825206509,2.059496881270984,415.10838386230006,1.081364609398427,-1.16820641629493,416.698782366
61156,1.4500747929858666,1.1681986162803095,471.75580408599996,0.9641365490885181,-0.36216511375701,417.289573485
22398,2.5728445474257144,1.82347139201453,490.455508675,0.8605513574243682,-1.1303593331883999,416.476597334
96891,1.3636563229400662,1.038429278609397,484.32107154100004,1.0034230029965834,-0.7455431897378,415.742490807
74476,3.774450319204995,1.7861581866089045,532.9939500520001,1.0885787927252344,-0.9222925350838,417.280847918
47418,3.661605926605748,2.0531080821602443,468.53368267599996,1.0416007838726287,-1.0976950387351,417.1408573
23709,1.3824896949356391,1.0957237259375858,339.95965354199996,0.962977235927248,-0.78354415793838,416.898700464
90564,1.5171052538978131,1.1160465510670992,347.695937293,0.9555559286131857,-1.044539836426,417.119535045
49608,4.465301806877569,2.32767862192246,422.153257665,1.1119555641284056,-1.3398009534770001,417.029865855
63982,2.4252404964426173,1.7324256495157917,449.356775421,1.0323835507191668,-0.9597090459685,416.994984995
23683,4.37003955619709,2.374351882608116,446.2285151307,1.119149521440988,-1.4451374353734001,416.828581916
75468,3.146614725524946,2.013591131497172,410.458139015,1.1058305398446189,-0.8456935730607,417.488022083
19586,2.9078399620877997,2.121058483466409,389.3811597968,1.0933825340098415,-1.3163147652779001,416.780513148
40876,2.004989955845262,1.5735665166520616,523.060636093,0.9781247816757668,-0.8712762562637001,416.795885025
