ecs,tcr
3.606405991459704,2.5909182793896153
7.604498482430575,2.6094171699680704
7.253369646148819,3.3772583475639175
2.044613227378504,1.5955413437377728
2.197353275439516,1.557853527564388
2.1947778863555727,1.7829367257893478
2.2047487517139626,1.5812751791168635
2.8844730111894537,1.8507762217088846
2.811747631722813,2.0117530581370207
3.127356530976071,1.918636006699734
2.8641417490714587,1.6417748863961974
2.7364593653910627,2.328628891688567
3.2546628563460334,1.7379789884477703
2.128096559529363,1.4608862492149979
2.2178577268920905,1.6293564815083843
3.183758790152063,1.7535333370448083
1.6888341204376365,1.5879057031778436
6.383592761198324,2.9494960182387
7.9918401795035985,2.7858955767116096
2.3564107638729097,1.7071197705827994
2.0172753981673623,1.567703893719424
3.215365792381748,2.3454352065935984
2.274485579430579,1.6425854824461195
2.03873075959086,1.3431464388219823
3.18506280125883,2.1340116940825613
3.795861675076908,1.875381904789688
5.019054293924277,2.7129998757157456
2.3002615822521335,1.9025570902641311
4.758196141630143,2.683790601641031
3.341590419815789,1.890903981136608
6.503994077387182,2.320331716102962
4.958109971843074,3.0219424225130647
2.476663652387064,1.8451862840114885
4.851184155765108,3.2820642682295578
2.192638189374757,1.7454493987064046
3.6790303234145036,1.8490889762133305
2.1631413091135006,1.4575380736553278
3.7439147588088857,1.982563931565436
2.2677433000327496,1.6270151083562499
2.1995867384731005,1.747384416486283
4.642947159362726,2.478579845335846
4.635914334997301,2.74862529358406
5.091666191364327,2.2608523486726506
2.1898076229240764,1.7094935014240773
1.7633967117139004,1.3937613356336485
3.771845152072103,2.4029206602876747
4.3116077252148965,2.521636442123948
7.378830285714776,2.750995781445125
4.105378352144414,2.821575185426471
3.935171680840209,3.12931021083863
1.8778190739816483,1.6413185394048069
4.471646996084749,2.2933640815666836
10.08367222439607,3.2958325409601152
3.000488481867984,2.0856834716841326
6.144563052300492,3.911263472942002
2.2244236049806285,1.6906538120467247
3.197601480441148,1.7316146726555943
2.0468464366118013,1.7632820750462426
2.4598741859139364,1.8010909117901932
4.750260558846325,2.855727352844406
2.2282010247636497,1.6342761224986255
2.690190810043264,1.963334872868176
2.5860253604519383,1.8383698803308683
2.653601856119689,1.9933128461505667
4.269350202396263,2.4477802404444646
6.488982615151346,2.8573070956111053
4.171320801050505,2.903137933669102
3.8470551396733743,2.1536678665815168
3.4511319225284067,2.2568788602410508
3.2107702112682595,2.6313913546209093
4.73864854444359,2.420964235034535
2.3636253587616816,1.6136926524275945
3.0522716062593953,1.8983620500075336
2.1120016785263793,1.6012289639134427
2.273392921559979,1.7786630769307832
1.9299268117884354,1.6464769319121073
3.046496815828055,2.1720417788607165
3.6615636711555486,2.0937639316315
2.4730994170777203,1.6346607087145306
3.965288742939626,1.9791371086343241
3.153367282092545,2.356954408792384
3.3019345795563364,1.7847431874183646
3.5747905409289826,2.6768743081659614
5.5855458605075015,2.4537980066842087
5.341226482748158,2.314877697940405
3.346920708392003,1.622945392624752
4.304639348825523,2.605251232008779
5.1093882949562826,2.602968196779145
5.643692280079452,3.29524544986795
6.761189807893114,2.6645607439154726
5.699159640515628,2.830687021111829
2.4691558732822747,1.4916400717868128
